,publications,domestic,pct_layer,upper,lower,labelled_max,origin_leader_office,dup_origin_year,dup_origin_field,dup_origin_only,domestic_share,pct_share,duplication_factor,labelled_dup,is_epc,home_is_origin_leader,domestic_measurable,H,identity,residual,on_identity,DH
HU,3555.0,1193.0,684.0,3555.0,1293.0,1193.0,HU,2.9798826487845766,2.8925956061838893,2.9798826487845766,33.55836849507735,16.13588110403397,2.7494199535962878,2.9798826487845766,True,True,True,0.3355836849507735,2.979882648784577,0.23046269518828932,False,0.9226604795050269
BB,4721.0,0.0,370.0,4721.0,1739.0,1564.0,US,3.018542199488491,2.921410891089109,3.018542199488491,,7.267727362011392,2.71477860839563,3.018542199488491,False,False,False,,,,False,
SG,30819.0,1535.0,7814.0,30819.0,11855.0,10702.0,US,2.879742104279574,2.698450223272918,2.879742104279574,4.9806937278951295,20.226231460150647,2.599662589624631,2.879742104279574,False,False,True,0.049806937278951295,20.077524429967426,17.477861840342793,False,0.12948123154787008
MC,563.0,23.0,91.0,563.0,220.0,116.0,EP,4.364341085271318,3.7039473684210527,4.853448275862069,4.085257548845471,13.914373088685016,2.559090909090909,4.853448275862069,True,False,True,0.04085257548845471,24.478260869565215,21.919169960474306,False,0.10454545454545455
IL,50671.0,1450.0,10150.0,50671.0,19886.0,19861.0,US,2.5512814057701023,2.5512814057701023,2.5512814057701023,2.8615973633833947,16.688314891238225,2.5480740219249722,2.5512814057701023,False,False,True,0.028615973633833947,34.945517241379314,32.39744321945434,False,0.07291561902846223
LI,5573.0,0.0,1359.0,5573.0,2195.0,2109.0,EP,2.642484589853011,2.592093023255814,2.642484589853011,,19.60473167916907,2.5389521640091117,2.642484589853011,True,False,False,,,,False,
CA,90459.0,20860.0,13192.0,90459.0,35804.0,35729.0,US,2.531808894735369,2.5313129617192747,2.531808894735369,23.06017090615638,12.727325351419667,2.5265054183890068,2.531808894735369,False,False,True,0.2306017090615638,4.336481303930968,1.8099758855419616,False,0.5826164674338062
EE,938.0,86.0,229.0,938.0,377.0,252.0,US,3.5938697318007664,3.0355987055016183,3.7222222222222223,9.168443496801705,19.622964867180805,2.4880636604774535,3.7222222222222223,True,False,True,0.09168443496801705,10.906976744186048,8.418913083708595,False,0.22811671087533153
CY,1686.0,0.0,223.0,1686.0,683.0,588.0,US,2.86734693877551,2.73257698541329,2.86734693877551,,11.681508643268726,2.4685212298682284,2.86734693877551,True,False,False,,,,False,
SI,2417.0,927.0,485.0,2417.0,1047.0,927.0,SI,2.6073354908306365,2.4218436873747495,2.6073354908306365,38.35333057509309,16.71261199172984,2.3085004775549187,2.6073354908306365,True,True,True,0.3835333057509309,2.6073354908306365,0.2988350132757178,False,0.8853868194842407
CZ,6387.0,2635.0,1013.0,6387.0,2770.0,2635.0,CZ,2.423908918406072,2.34902537697683,2.423908918406072,41.25567559104431,13.68918918918919,2.3057761732851985,2.423908918406072,True,True,True,0.4125567559104431,2.423908918406072,0.11813274512087357,False,0.9512635379061372
CL,3650.0,1557.0,940.0,3650.0,1584.0,1557.0,CL,2.3442517662170843,2.3367477592829706,2.3442517662170843,42.657534246575345,20.47930283224401,2.3042929292929295,2.3442517662170843,False,True,True,0.42657534246575346,2.344251766217084,0.03995883692415436,True,0.9829545454545456
